year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2021-2022;Bakı Dövlət Universiteti;Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi;Qazax filialı;Azerbaijani;Ə;108.9;;NO;;
2021-2022;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn (sahələr üzrə);;Azerbaijani;Ə;118.8;;NO;;
2021-2022;Azərbaycan Memarlıq və İnşaat Universiteti;Dizayn (sahələr üzrə);;English;Ə;178.5;;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi;;Azerbaijani;Ə;112.9;142.7;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Musiqi müəllimliyi (fortepiano, violin, klarnet, tar, kamança, qanun, saz, balaban, qarmon, vokal);;Azerbaijani;Ə;60.0;;YES;72.9;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;92.6;124.6;NO;;
2021-2022;Azərbaycan Dövlət İqtisad Universiteti;Dizayn (sahələr üzrə);;Azerbaijani;Ə;169.2;;NO;;
2021-2022;Bakı Mühəndislik Universiteti;Dizayn (sahələr üzrə);;Azerbaijani;Ə;166.5;;NO;;
2021-2022;Bakı Musiqi Akademiyası;Musiqi müəllimliyi (fortepiano, violin, viola, violonçel, kontrabas, arfa, fleyta, qoboy, klarnet, saksofon, faqot, valtoma, truba, trombon, tuba, zərb alətləri);;Azerbaijani;Ə;102.0;;NO;;
2021-2022;Bakı Musiqi Akademiyası;Bəstəkarlıq;;Azerbaijani;Ə;60.0;191.3;NO;;
2021-2022;Bakı Musiqi Akademiyası;Dirijorluq (simfonik orkestr dirijorluğu, xor dirijorluğu, nəfəs alətləri orkestrinin dirijorluğu);;Azerbaijani;Ə;60.0;;YES;51.0;85.7
2021-2022;Bakı Musiqi Akademiyası;İnstrumental ifaçılıq (fortepiano, orqan, klavesin, violin, viola, violonçel, kontrabas, arfa, fleyta, qoboy, klarnet, saksofon, faqot, valtoma, truba, trombon, tuba, zərb alətləri);;Azerbaijani;Ə;106.4;;NO;;
2021-2022;Bakı Musiqi Akademiyası;Musiqişünaslıq;;Azerbaijani;Ə;129.0;129.0;NO;;
2021-2022;Bakı Musiqi Akademiyası;Populyar musiqi və caz ifaçılığı (fortepiano, kontrabas, saksofon, truba, zərb alətləri, vokal);;Azerbaijani;Ə;187.9;;NO;;
2021-2022;Bakı Musiqi Akademiyası;Vokal sənəti (akademik vokal);;Azerbaijani;Ə;122.5;;NO;;
2021-2022;Azərbaycan Milli Konservatoriyası;Musiqi müəllimliyi (fortepiano, tar, kamança, qanun, saz, balaban, qarmon);;Azerbaijani;Ə;67.2;;NO;;
2021-2022;Azərbaycan Milli Konservatoriyası;Bəstəkarlıq;;Azerbaijani;Ə;60.0;;NO;;
2021-2022;Azərbaycan Milli Konservatoriyası;Dirijorluq (xalq çalğı alətləri orkestrinin dirijorluğu, xor dirijorluğu);;Azerbaijani;Ə;60.0;;YES;51.0;3.6
2021-2022;Azərbaycan Milli Konservatoriyası;İnstrumental ifaçılıq (tar, kamança, qanun, saz, balaban, zurna, tütək, ney, klarnet, qarmon, nağara);;Azerbaijani;Ə;66.7;;NO;;
2021-2022;Azərbaycan Milli Konservatoriyası;Musiqişünaslıq;;Azerbaijani;Ə;60.0;168.9;YES;68.9;
2021-2022;Azərbaycan Milli Konservatoriyası;Popular musiqi və caz ifaçılığı (fortepiano, violı , fleyta, qoboy, klarnet, saksofon, gitara, akkordeon, truba, zərb alətləri, tar, kamança, qanun, saz, balaban, ney, zurna, tütək, qarmon, nağara, vokal);;Azerbaijani;Ə;68.2;;NO;;
2021-2022;Azərbaycan Milli Konservatoriyası;Vokal sənəti (xanəndəlik);;Azerbaijani;Ə;66.7;;NO;;
2021-2022;Azərbaycan Milli Konservatoriyası;Vokal sənəti (milli vokal);;Azerbaijani;Ə;60.0;;YES;51.0;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Musiqi müəllimliyi (fortepiano, violı , fleyta, qoboy, klarnet, saksofon, gitara, akkordeon, truba, zərb alətləri, tar, kamança, qanun, saz, balaban, ney, zurna, tütək, qarmon, nağara, vokal);;Azerbaijani;Ə;79.4;;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Təsviri incəsənət müəllimliyi;;Azerbaijani;Ə;129.5;129.5;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Aktyor sənəti;;Azerbaijani;Ə;83.9;89.2;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Dekorativ-tətbiqi sənət (bədii xalça, bədii toxuculuq);;Azerbaijani;Ə;97.2;;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Dizayn (geyim dizaynı, interyer dizaynı, sənaye dizaynı, qrafik dizayn);;Azerbaijani;Ə;93.8;;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;İnstrumental ifaçılıq (klassik musiqi alətləri- fortepiano, violin, viola, gitara, klarnet, saksofon, zərb alətləri);;Azerbaijani;Ə;131.4;;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;İnstrumental ifaçılıq (xalq calğı alətləri ifaçılığı – tar, kamança, saz, qanun, nağara, balaban);;Azerbaijani;Ə;88.8;;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Musiqişünaslıq;;Azerbaijani;Ə;60.0;78.9;YES;51.0;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Operator sənəti;;Azerbaijani;Ə;60.0;65.2;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Populyar musiqi və caz ifaçılığı (vokal);;Azerbaijani;Ə;79.0;;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Qrafika;;Azerbaijani;Ə;88.1;117.2;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Rejissorluq;;Azerbaijani;Ə;60.0;93.3;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Rəngkarlıq;;Azerbaijani;Ə;124.1;149.5;NO;;
2021-2022;Azərbaycan Dövlət Mədəniyyət və İncəsənət Universiteti;Vokal sənəti (xanəndə);;Azerbaijani;Ə;90.8;;NO;;
2021-2022;Azərbaycan Dövlət Rəssamlıq Akademiyası;Təsviri incəsənət müəlliməyi;;Azerbaijani;Ə;130.9;130.9;NO;;
